student_id,name,gender,age,study_hours,previous_score,attendance_percentage,parent_education_level,parent_income,internet_access_at_home,sleep_hours,extracurricular_activities,tuition_classes,library_access,transport_facility,midterm_score,assignment_score,quiz_score,project_score,final_score,grade
S0001,Christian Scott,Female,16,5.5,58,65,Master's,118654,Yes,6,Yes,No,Yes,Yes,47,59,48,58,54.0,D
S0002,Alexander Edwards,Male,19,7.1,71,83,Bachelor's,79916,Yes,9,No,Yes,No,Yes,80,68,64,61,67.6,C
S0003,Ava Lewis,Male,15,2.0,69,79,Bachelor's,81627,Yes,5,Yes,No,Yes,Yes,41,47,57,44,45.8,F
S0004,Christian Harris,Male,17,6.8,74,100,High School,49782,Yes,7,No,Yes,No,Yes,66,72,75,65,68.2,C
S0005,Joseph Anderson,Female,18,1.2,85,87,High School,43721,Yes,6,No,Yes,Yes,Yes,61,68,58,48,56.8,D
S0006,Lucas Hall,Female,17,5.0,68,81,Master's,109881,Yes,7,Yes,Yes,No,No,55,58,55,57,56.4,D
S0007,Lily Campbell,Male,16,8.3,85,73,Bachelor's,80483,No,9,Yes,Yes,Yes,Yes,72,83,70,82,77.9,B
S0008,Elizabeth Brown,Female,16,6.0,68,85,PhD,145422,Yes,6,No,No,No,Yes,59,64,60,56,59.0,D
S0009,Madison Johnson,Male,17,5.6,87,97,Bachelor's,66984,No,9,No,Yes,Yes,Yes,74,66,73,66,69.1,C
S0010,Elizabeth Collins,Female,17,8.0,76,85,Master's,108776,Yes,6,Yes,No,Yes,No,71,70,57,70,68.3,C
S0011,Natalie Turner,Male,16,3.9,70,74,Bachelor's,83618,Yes,8,Yes,Yes,Yes,No,48,46,58,58,53.1,D
S0012,Emma Lewis,Male,17,5.7,76,87,Bachelor's,72755,Yes,7,Yes,Yes,No,Yes,60,69,54,65,62.9,C
S0013,Ryan Thomas,Female,15,5.9,71,82,High School,37135,Yes,8,No,Yes,Yes,Yes,63,56,57,57,58.3,D
S0014,Madison Collins,Female,18,4.2,76,86,Bachelor's,55320,Yes,7,Yes,No,Yes,No,59,45,57,69,59.9,D
S0015,Charles Reed,Female,16,4.3,84,78,Bachelor's,59654,Yes,7,No,No,No,Yes,64,64,59,57,60.4,C
S0016,Andrew Evans,Female,17,4.2,74,78,PhD,131684,Yes,6,Yes,Yes,Yes,Yes,56,60,57,60,58.6,D
S0017,Chloe Martin,Female,15,5.1,71,78,Master's,108238,Yes,6,Yes,Yes,Yes,Yes,56,66,47,53,55.4,D
S0018,Alexander Morris,Male,17,5.8,62,91,High School,51889,Yes,9,Yes,Yes,Yes,Yes,62,54,68,49,56.1,D
S0019,Leah Brown,Female,18,5.2,82,78,High School,46131,Yes,7,Yes,No,Yes,Yes,61,71,76,64,66.4,C
S0020,Jonathan Martinez,Female,17,6.1,79,77,High School,40770,Yes,7,Yes,No,No,No,71,60,73,65,66.7,C
S0021,David Lee,Female,16,2.0,61,73,Bachelor's,61553,Yes,8,Yes,Yes,No,No,44,44,43,41,42.7,F
S0022,Christian White,Female,18,4.7,85,87,Master's,105426,Yes,7,Yes,No,Yes,Yes,67,70,62,68,67.2,C
S0023,Sophia Young,Female,18,3.5,61,85,PhD,151777,Yes,9,Yes,Yes,No,No,55,50,51,48,50.6,D
S0024,Amelia Cook,Female,16,5.5,87,78,High School,43482,No,8,Yes,No,Yes,Yes,67,72,62,69,68.0,C
S0025,Benjamin Allen,Male,18,5.4,83,75,Bachelor's,62498,Yes,7,No,Yes,Yes,Yes,71,64,66,68,67.6,C
S0026,Emma Clark,Female,19,4.8,80,100,Bachelor's,61636,Yes,8,Yes,No,Yes,No,66,65,76,71,69.3,C
S0027,Chloe Morris,Male,16,5.8,70,63,Master's,101395,Yes,5,Yes,Yes,Yes,No,58,63,64,67,63.5,C
S0028,William Collins,Female,18,6.5,82,87,Bachelor's,71578,Yes,7,Yes,No,Yes,Yes,80,74,72,74,75.2,B
S0029,Ava Morris,Female,18,4.9,88,95,Master's,87537,Yes,7,No,No,No,Yes,71,75,63,73,71.4,B
S0030,Nicholas Moore,Male,17,3.4,82,50,Master's,104226,Yes,6,Yes,No,No,No,49,59,60,46,51.4,D
S0031,Daniel Perez,Female,16,2.6,67,90,High School,45216,Yes,8,No,No,Yes,No,54,52,56,57,55.1,D
S0032,Savannah Campbell,Female,16,5.1,78,80,Master's,103613,Yes,9,No,No,Yes,No,62,69,61,63,63.6,C
S0033,Sophia Johnson,Female,18,5.4,89,85,High School,33009,Yes,7,No,Yes,Yes,Yes,74,67,75,65,69.2,C
S0034,Olivia Evans,Female,19,3.5,98,79,Master's,109368,Yes,7,Yes,Yes,No,Yes,60,76,69,65,66.6,C
S0035,Sophia Scott,Male,18,6.1,73,93,Bachelor's,84327,Yes,9,No,Yes,No,Yes,79,67,68,66,69.8,C
S0036,Emily Allen,Female,17,4.3,85,86,Bachelor's,69209,No,7,Yes,No,Yes,Yes,58,59,67,72,65.2,C
S0037,Leah Carter,Female,17,2.5,89,83,PhD,158443,Yes,7,Yes,Yes,No,No,64,53,68,64,62.4,C
S0038,Mia Perez,Male,17,6.9,65,73,Master's,100029,Yes,7,No,No,Yes,Yes,66,66,61,62,63.6,C
S0039,Amelia Baker,Female,17,6.7,96,100,Master's,87077,Yes,9,Yes,No,Yes,Yes,73,71,87,71,73.9,B
S0040,Brooklyn Jackson,Male,16,2.0,62,82,Bachelor's,68907,Yes,7,No,Yes,Yes,No,45,50,43,42,44.5,F
S0041,Ava Moore,Male,18,4.2,85,100,Master's,89873,No,8,Yes,Yes,Yes,Yes,67,70,70,70,69.2,C
S0042,Joseph Campbell,Female,17,4.1,79,100,Bachelor's,63635,Yes,8,No,Yes,Yes,Yes,65,64,64,56,61.0,C
S0043,David Martin,Female,18,7.5,76,64,Master's,118065,No,7,Yes,Yes,Yes,No,74,69,72,69,70.7,B
S0044,Dylan White,Male,17,4.9,98,75,Bachelor's,68095,Yes,7,Yes,Yes,Yes,No,75,68,74,66,69.9,C
S0045,Nathan Hall,Female,15,2.8,71,72,PhD,143783,Yes,8,Yes,Yes,Yes,No,52,49,48,58,53.2,D
S0046,Grace Young,Male,16,6.3,71,82,PhD,144152,Yes,7,No,No,Yes,Yes,62,67,63,61,62.8,C
S0047,Dylan Parker,Male,17,3.2,91,84,Master's,114092,Yes,8,Yes,No,Yes,No,64,65,57,63,62.8,C
S0048,Christopher Jackson,Male,19,4.6,84,84,Bachelor's,72653,No,9,Yes,Yes,Yes,No,73,62,74,77,72.6,B
S0049,Dylan Smith,Male,16,3.8,90,93,High School,31260,Yes,7,Yes,Yes,No,Yes,67,61,73,70,67.9,C
S0050,Charles Martinez,Male,18,4.2,76,97,Master's,105947,Yes,8,No,Yes,Yes,Yes,65,60,60,53,58.4,D
S0051,Benjamin Hall,Female,17,6.4,79,92,High School,53281,Yes,8,Yes,No,Yes,No,68,64,73,63,66.0,C
S0052,John Collins,Female,18,7.3,98,76,Master's,114978,Yes,8,Yes,No,Yes,Yes,72,80,80,89,81.6,A
S0053,Ava Hall,Male,17,3.1,65,74,Bachelor's,77056,Yes,7,Yes,Yes,No,No,58,49,50,52,52.6,D
S0054,Lucas Thompson,Female,18,5.9,74,82,Bachelor's,84007,Yes,6,Yes,Yes,No,Yes,65,59,70,62,63.4,C
S0055,Ava Mitchell,Female,18,3.9,85,86,PhD,153169,Yes,7,Yes,No,Yes,Yes,67,58,59,62,62.0,C
S0056,Nicholas Nelson,Male,16,3.9,73,80,Bachelor's,70519,Yes,8,Yes,No,Yes,Yes,50,61,46,58,54.8,D
S0057,James Evans,Female,16,5.7,68,69,Bachelor's,76977,No,7,No,Yes,No,No,58,57,58,59,58.2,D
S0058,Christian Parker,Female,18,3.5,82,89,Bachelor's,66864,Yes,8,Yes,No,Yes,Yes,56,67,68,62,62.4,C
S0059,Chloe Martinez,Male,19,5.7,91,78,Bachelor's,70681,Yes,7,Yes,Yes,Yes,No,68,64,77,77,72.2,B
S0060,Benjamin Rodriguez,Male,15,6.1,73,78,Master's,90543,Yes,7,Yes,Yes,Yes,No,64,62,53,57,59.1,D
S0061,Isabella Carter,Female,18,4.4,73,81,Bachelor's,78624,Yes,6,No,No,Yes,No,64,59,59,50,56.6,D
S0062,Ryan Rogers,Female,19,7.0,67,80,PhD,131067,Yes,8,No,No,Yes,No,59,63,69,61,62.1,C
S0063,Joseph Hall,Male,18,3.1,71,78,Master's,110097,Yes,7,No,Yes,Yes,No,61,61,44,48,53.3,D
S0064,Jonathan Mitchell,Female,19,7.0,88,69,Bachelor's,65079,Yes,6,Yes,No,Yes,Yes,67,71,80,74,72.6,B
S0065,Leah Campbell,Female,18,2.1,76,81,Master's,88809,No,7,Yes,Yes,No,No,58,57,39,54,53.4,D
S0066,Madison King,Female,17,9.0,65,89,Bachelor's,77191,Yes,8,Yes,No,Yes,No,75,74,57,77,72.9,B
S0067,Nicholas Smith,Female,17,4.4,78,85,Bachelor's,76267,Yes,7,Yes,Yes,No,Yes,55,57,77,72,65.5,C
S0068,Nicholas Roberts,Female,17,3.3,88,91,PhD,138992,Yes,6,Yes,No,Yes,Yes,61,55,68,61,60.9,C
S0069,Nathan Moore,Male,18,4.7,68,75,High School,43746,Yes,9,No,No,Yes,No,55,72,55,53,57.6,D
S0070,Michael Smith,Male,18,3.4,59,69,Bachelor's,70995,Yes,8,No,Yes,Yes,Yes,48,43,44,42,44.0,F
S0071,James Allen,Female,16,5.6,98,80,Bachelor's,71035,No,9,No,No,No,No,72,72,76,77,74.6,B
S0072,Amelia Phillips,Female,18,7.1,58,76,Bachelor's,66671,No,7,Yes,No,No,Yes,64,57,56,60,59.8,D
S0073,Andrew Lee,Male,18,3.5,71,77,Bachelor's,68210,No,7,No,No,Yes,Yes,60,52,51,60,57.0,D
S0074,Alexander Jackson,Female,17,5.9,78,84,Master's,102793,No,8,Yes,Yes,No,No,73,70,75,61,67.9,C
S0075,Grace Evans,Female,17,2.7,72,77,Bachelor's,81270,Yes,7,Yes,No,Yes,Yes,47,48,51,57,51.8,D
S0076,Ethan Adams,Male,17,6.5,74,69,Bachelor's,84240,Yes,8,No,No,No,Yes,63,61,76,63,64.6,C
S0077,Christian Reed,Female,16,5.6,82,76,High School,35197,Yes,7,Yes,Yes,Yes,No,59,71,56,63,62.6,C
S0078,Samantha Williams,Female,16,6.6,46,85,Bachelor's,70553,Yes,7,Yes,No,No,Yes,56,50,60,61,57.4,D
S0079,Natalie Roberts,Female,16,4.8,60,89,High School,37452,Yes,6,Yes,Yes,Yes,No,59,63,64,63,62.2,C
S0080,Joseph Phillips,Female,16,4.3,76,89,Bachelor's,63718,Yes,6,No,Yes,Yes,No,60,59,52,59,58.2,D
S0081,Dylan Jackson,Male,17,6.2,70,86,Bachelor's,69859,Yes,5,No,Yes,Yes,No,68,66,59,62,63.9,C
S0082,Samuel Scott,Female,17,3.0,77,80,High School,32172,Yes,5,Yes,No,Yes,Yes,46,54,60,58,54.5,D
S0083,Lily Taylor,Male,15,2.4,78,86,Bachelor's,68158,Yes,9,No,No,Yes,Yes,52,53,61,56,55.2,D
S0084,Samantha Martinez,Male,18,5.0,50,82,High School,46663,Yes,6,Yes,Yes,Yes,No,56,51,52,56,54.4,D
S0085,Madison Wright,Female,17,4.4,90,83,PhD,129053,Yes,8,Yes,No,Yes,No,65,61,60,70,65.4,C
S0086,Emma Evans,Male,19,5.8,69,73,PhD,121085,Yes,8,No,Yes,Yes,No,60,61,53,62,60.0,C
S0087,Dylan Garcia,Male,19,6.6,65,82,Bachelor's,79209,Yes,7,No,Yes,Yes,No,59,66,65,68,64.9,C
S0088,Chloe Wright,Female,16,5.8,78,86,PhD,169095,Yes,6,No,Yes,Yes,Yes,60,78,70,67,67.9,C
S0089,Leah Collins,Male,17,6.5,76,85,Master's,88981,Yes,8,Yes,No,No,Yes,68,65,66,68,67.1,C
S0090,Abigail Green,Male,15,5.5,89,69,Bachelor's,76153,Yes,7,No,No,Yes,Yes,62,68,72,64,65.5,C
S0091,Lucas Wright,Female,17,5.7,78,83,High School,35247,Yes,8,No,No,Yes,Yes,63,72,67,70,68.2,C
S0092,Charles Phillips,Female,17,4.8,89,68,Master's,95553,Yes,8,No,No,Yes,Yes,68,70,59,59,63.4,C
S0093,Ryan Smith,Male,16,5.7,64,84,Master's,105811,Yes,9,Yes,Yes,Yes,No,64,57,64,56,59.4,D
S0094,Andrew Taylor,Female,17,5.2,77,75,Bachelor's,84845,Yes,7,No,Yes,Yes,Yes,58,59,68,57,59.3,D
S0095,Brandon Brown,Female,16,5.5,62,99,Master's,91135,Yes,7,Yes,Yes,Yes,Yes,64,56,59,50,56.0,D
S0096,Christian Garcia,Female,16,4.7,76,83,Bachelor's,60573,Yes,7,Yes,Yes,Yes,Yes,59,59,63,64,61.6,C
S0097,Ava King,Female,18,6.2,74,90,Master's,98731,Yes,6,Yes,Yes,No,No,72,65,65,63,66.0,C
S0098,Benjamin Roberts,Female,17,3.9,73,100,PhD,117189,Yes,8,Yes,No,Yes,No,56,61,65,66,62.4,C
S0099,Ryan Evans,Female,17,5.0,73,74,Bachelor's,69541,Yes,6,Yes,Yes,Yes,No,56,58,48,59,56.4,D
S0100,Leah Hall,Female,17,7.0,84,86,Master's,96087,Yes,7,No,No,Yes,No,68,72,63,66,67.2,C
S0101,Alexander Adams,Female,19,3.6,56,70,Bachelor's,68667,Yes,8,Yes,Yes,Yes,Yes,44,48,43,45,45.0,F
S0102,Samantha Hall,Male,16,1.8,64,85,Master's,87776,Yes,7,No,Yes,No,No,46,54,58,59,54.6,D
S0103,Brandon Reed,Male,17,5.5,75,100,Master's,112564,Yes,7,Yes,No,Yes,Yes,64,67,70,70,67.9,C
S0104,Gabriel Thomas,Female,18,4.6,61,76,High School,37697,Yes,7,Yes,Yes,Yes,Yes,45,48,52,56,51.1,D
S0105,Christian Johnson,Female,17,6.5,76,73,Bachelor's,69629,Yes,8,Yes,No,Yes,No,67,66,70,59,64.1,C
S0106,Michael Reed,Female,19,4.8,74,81,High School,38386,Yes,7,Yes,No,Yes,No,63,56,63,56,58.8,D
S0107,Jonathan Reed,Male,18,4.1,58,100,Master's,102046,Yes,8,Yes,Yes,Yes,Yes,54,53,59,62,57.8,D
S0108,Daniel Reed,Female,18,4.9,58,90,Bachelor's,80055,Yes,6,Yes,No,No,Yes,61,47,57,62,58.0,D
S0109,Emma Johnson,Male,18,6.6,44,73,Master's,93044,Yes,8,Yes,Yes,No,No,50,48,46,44,46.6,F
S0110,Chloe Walker,Male,19,5.9,60,97,High School,50602,Yes,8,Yes,Yes,No,Yes,58,65,52,58,58.5,D
S0111,Jonathan Adams,Female,19,1.3,75,65,Bachelor's,64615,Yes,6,Yes,No,No,Yes,50,41,59,42,46.4,F
S0112,Ryan Smith,Female,18,5.3,77,100,Bachelor's,70034,No,7,Yes,Yes,Yes,Yes,66,67,59,74,68.4,C
S0113,Matthew Johnson,Female,18,5.4,77,91,Master's,90060,Yes,6,Yes,No,Yes,Yes,60,62,68,61,62.0,C
S0114,Leah Allen,Female,16,5.0,66,100,PhD,170519,Yes,8,No,No,No,No,51,66,61,71,63.5,C
S0115,Samantha Garcia,Male,16,4.1,75,66,PhD,171158,Yes,7,No,No,No,Yes,45,55,48,57,52.2,D
S0116,Samantha Williams,Female,17,6.8,80,84,Master's,119782,Yes,7,No,Yes,No,Yes,64,74,79,65,68.6,C
S0117,Lucas Thompson,Male,15,6.9,60,81,Master's,105173,Yes,6,Yes,Yes,Yes,No,70,59,66,55,61.2,C
S0118,Hannah Hall,Female,17,1.7,76,72,High School,42997,Yes,6,No,No,Yes,No,53,51,53,47,50.2,D
